listing_id,name,city,state,country,bedrooms,beds,bathrooms,accomodation_total,host_name,host_id,latitude,longitude,room_type,picture_url,amenities
648913477943796142,"GeoDome w/AC, Indoor Jetted Tub and Hilltop View’s",Springdale,Arkansas,United States,1,1,1.0,$188, ,12618999,36.32794,-93.79492,Entire home/apt,https://a0.muscache.com/im/pictures/miso/Hosting-648913477943796142/original/72450a38-1b33-4b35-abec-c1c1979d09ba.jpeg?im_w=720,"[5, 8, 392, 9, 73, 394, 77, 79, 527, 657, 86, 280, 25, 89, 153, 665, 90, 91, 219, 93, 30, 94, 415, 671, 672, 98, 35, 99, 100, 37, 101, 39, 103, 40, 104, 41, 236, 45, 625, 626, 179, 308, 500, 57, 510]"
51091802,"The Winery Chateau Treehouse, Quiet Location, King",Rogers,Arkansas,United States,1,1,1.0,$146, ,100246445,36.4086,-93.75908,Entire home/apt,https://a0.muscache.com/im/pictures/prohost-api/Hosting-51091802/original/6487ebeb-fad1-4a93-9d7a-4f5bfe0a4644.jpeg?im_w=720,"[1, 2, 35, 4, 100, 5, 39, 40, 9, 41, 45, 77, 46, 51, 85, 54, 89, 90, 27, 93, 30]"
46217903,A Luxury Treehouse Experience | Wood-Fired Cedar Hot Tub,Fayetteville,Arkansas,United States,1,2,1.5,$279, ,125267579,36.06094,-94.25466,Entire home/apt,https://a0.muscache.com/im/pictures/prohost-api/Hosting-46217903/original/ed5cb558-1e71-460b-afce-e09a6a4e35f4.jpeg?im_w=720,"[1, 2, 35, 4, 36, 5, 37, 101, 39, 40, 139, 45, 51, 85, 54, 23, 25, 89, 90, 27, 91, 30, 94, 95]"
46217903,A Luxury Treehouse Experience | Wood-Fired Cedar Hot Tub,Springdale,Arkansas,United States,1,2,1.5,$279, ,125267579,36.06094,-94.25466,Entire home/apt,https://a0.muscache.com/im/pictures/prohost-api/Hosting-46217903/original/ed5cb558-1e71-460b-afce-e09a6a4e35f4.jpeg?im_w=720,"[1, 2, 35, 4, 36, 5, 37, 101, 39, 40, 139, 45, 51, 85, 54, 23, 25, 89, 90, 27, 91, 30, 94, 95]"
26354756,Dock Holiday at Fox Pass Cabins,Rogers,Arkansas,United States,1,2,1.0,$215, ,3676540,34.5741,-93.00301,Entire home/apt,https://a0.muscache.com/im/pictures/7d31803c-dc78-4ee2-b2b7-1e6c772a1e7a.jpg?im_w=720,"[1, 2, 4, 5, 69, 8, 392, 9, 139, 77, 79, 657, 85, 86, 280, 25, 89, 153, 665, 90, 27, 91, 219, 93, 30, 94, 31, 415, 671, 96, 672, 98, 35, 99, 36, 37, 101, 39, 40, 41, 44, 236, 45, 46, 626, 51, 308, 54]"
739165039995495970,Beautiful 1 bedroom treehouse with hot tub/ views,Fayetteville,Arkansas,United States,1,1,1.0,$182, ,211922041,35.44987,-92.39493,Entire home/apt,https://a0.muscache.com/im/pictures/miso/Hosting-739165039995495970/original/e6e5ca5d-4844-4a65-bdae-f2248e4e9216.jpeg?im_w=720,"[1, 4, 5, 133, 8, 9, 139, 77, 79, 85, 86, 280, 25, 89, 665, 90, 27, 91, 219, 476, 93, 30, 94, 95, 96, 672, 33, 34, 35, 99, 36, 37, 39, 40, 41, 236, 45, 626, 179, 308, 185, 251, 510]"
739165039995495970,Beautiful 1 bedroom treehouse with hot tub/ views,Springdale,Arkansas,United States,1,1,1.0,$182, ,211922041,35.44987,-92.39493,Entire home/apt,https://a0.muscache.com/im/pictures/miso/Hosting-739165039995495970/original/e6e5ca5d-4844-4a65-bdae-f2248e4e9216.jpeg?im_w=720,"[1, 4, 5, 133, 8, 9, 139, 77, 79, 85, 86, 280, 25, 89, 665, 90, 27, 91, 219, 476, 93, 30, 94, 95, 96, 672, 33, 34, 35, 99, 36, 37, 39, 40, 41, 236, 45, 626, 179, 308, 185, 251, 510]"
32721035,Cozy & Relaxing Suite: Pool/Movie Screen/Trails,Rogers,Arkansas,United States,1,2,1.0,$51, ,9209266,36.40187,-94.22518,Entire home/apt,https://a0.muscache.com/im/pictures/43831c7d-21e3-4288-8e98-8a606e594e83.jpg?im_w=720,"[1, 4, 5, 7, 8, 9, 137, 522, 139, 657, 146, 23, 663, 280, 153, 665, 27, 30, 415, 672, 35, 36, 37, 39, 40, 41, 44, 45, 46, 47, 51, 179, 308, 53, 56, 57, 185, 60, 322, 70, 72, 73, 77, 79, 85, 86, 89, 90, 219, 476, 93, 611, 100, 101, 627, 251]"
23003128,Mountain Air Treehouse,Fayetteville,Arkansas,United States,1,1,1.0,$216, ,135114275,34.54955,-93.09199,Entire home/apt,https://a0.muscache.com/im/pictures/miso/Hosting-23003128/original/8f05a36d-ae2a-4509-87ca-652c26f696aa.jpeg?im_w=720,"[1, 4, 5, 8, 9, 77, 25, 89, 90, 27, 91, 93, 30, 94, 96, 35, 99, 36, 100, 37, 101, 38, 39, 40, 41, 44, 45, 46, 51, 53]"
23003128,Mountain Air Treehouse,Springdale,Arkansas,United States,1,1,1.0,$216, ,135114275,34.54955,-93.09199,Entire home/apt,https://a0.muscache.com/im/pictures/miso/Hosting-23003128/original/8f05a36d-ae2a-4509-87ca-652c26f696aa.jpeg?im_w=720,"[1, 4, 5, 8, 9, 77, 25, 89, 90, 27, 91, 93, 30, 94, 96, 35, 99, 36, 100, 37, 101, 38, 39, 40, 41, 44, 45, 46, 51, 53]"
